# step=0 t=0.000000e+00
# x rho u p E e_int alpha
1.010000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.030000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.050000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.070000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.090000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.110000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.130000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.150000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.170000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.190000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.210000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.230000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.250000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.270000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.290000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.310000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.330000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.350000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.370000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.390000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.410000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.430000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.450000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.470000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.490000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.510000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.530000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.550000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.570000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.590000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.610000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.630000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.650000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.670000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.690000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.710000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.730000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.750000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.770000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.790000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.810000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.830000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.850000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.870000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.890000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.910000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.930000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.950000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.970000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
1.990000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.010000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.030000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.050000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.070000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.090000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.110000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.130000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.150000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.170000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.190000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.210000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.230000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.250000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.270000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.290000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.310000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.330000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.350000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.370000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.390000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.410000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.430000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.450000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.470000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.490000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.510000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.530000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.550000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.570000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.590000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.610000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.630000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.650000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.670000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.690000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.710000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.730000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.750000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.770000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.790000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.810000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.830000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.850000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.870000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.890000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.910000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.930000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.950000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.970000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
2.990000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.010000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.030000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.050000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.070000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.090000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.110000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.130000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.150000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.170000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.190000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.210000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.230000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.250000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.270000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.290000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.310000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.330000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.350000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.370000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.390000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.410000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.430000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.450000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.470000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.490000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.510000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.530000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.550000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.570000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.590000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.610000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.630000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.650000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.670000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.690000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.710000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.730000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.750000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.770000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.790000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.810000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.830000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.850000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.870000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.890000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.910000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.930000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.950000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.970000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
3.990000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.010000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.030000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.050000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.070000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.090000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.110000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.130000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.150000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.170000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.190000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.210000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.230000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.250000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.270000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.290000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.310000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.330000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.350000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.370000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.390000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.410000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.430000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.450000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.470000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.490000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.510000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.530000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.550000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.570000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.590000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.610000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.630000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.650000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.670000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.690000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.710000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.730000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.750000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.770000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.790000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.810000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.830000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.850000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.870000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.890000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.910000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.930000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
4.950000e-01	1.000000e+03	0.000000e+00	1.000000e+09	1.070588e+09	1.070588e+06	1.000000e+00
